account,kind,opening_minor
m000,merchant,0
m001,merchant,0
m002,merchant,0
m003,merchant,0
m004,merchant,0
m005,merchant,0
m006,merchant,0
m007,merchant,0
m008,merchant,0
m009,merchant,0
m010,merchant,0
m011,merchant,0
m012,merchant,0
m013,merchant,0
m014,merchant,0
m015,merchant,0
m016,merchant,0
m017,merchant,0
m018,merchant,0
m019,merchant,0
m020,merchant,0
m021,merchant,0
m022,merchant,0
m023,merchant,0
m024,merchant,0
m025,merchant,0
m026,merchant,0
m027,merchant,0
m028,merchant,0
m029,merchant,0
m030,merchant,0
m031,merchant,0
m032,merchant,0
m033,merchant,0
m034,merchant,0
m035,merchant,0
m036,merchant,0
m037,merchant,0
m038,merchant,0
m039,merchant,0
c000,customer,30000000
c001,customer,30000000
c002,customer,30000000
c003,customer,30000000
c004,customer,30000000
c005,customer,30000000
c006,customer,30000000
c007,customer,30000000
c008,customer,30000000
c009,customer,30000000
c010,customer,30000000
c011,customer,30000000
c012,customer,30000000
c013,customer,30000000
c014,customer,30000000
c015,customer,30000000
c016,customer,30000000
c017,customer,30000000
c018,customer,30000000
c019,customer,30000000
c020,customer,30000000
c021,customer,30000000
c022,customer,30000000
c023,customer,30000000
c024,customer,30000000
c025,customer,30000000
c026,customer,30000000
c027,customer,30000000
c028,customer,30000000
c029,customer,30000000
c030,customer,30000000
c031,customer,30000000
c032,customer,30000000
c033,customer,30000000
c034,customer,30000000
c035,customer,30000000
c036,customer,30000000
c037,customer,30000000
c038,customer,30000000
c039,customer,30000000
c040,customer,30000000
c041,customer,30000000
c042,customer,30000000
c043,customer,30000000
c044,customer,30000000
c045,customer,30000000
c046,customer,30000000
c047,customer,30000000
c048,customer,30000000
c049,customer,30000000
c050,customer,30000000
c051,customer,30000000
c052,customer,30000000
c053,customer,30000000
c054,customer,30000000
c055,customer,30000000
c056,customer,30000000
c057,customer,30000000
c058,customer,30000000
c059,customer,30000000
c060,customer,30000000
c061,customer,30000000
c062,customer,30000000
c063,customer,30000000
c064,customer,30000000
c065,customer,30000000
c066,customer,30000000
c067,customer,30000000
c068,customer,30000000
c069,customer,30000000
c070,customer,30000000
c071,customer,30000000
c072,customer,30000000
c073,customer,30000000
c074,customer,30000000
c075,customer,30000000
c076,customer,30000000
c077,customer,30000000
c078,customer,30000000
c079,customer,30000000
c080,customer,30000000
c081,customer,30000000
c082,customer,30000000
c083,customer,30000000
c084,customer,30000000
c085,customer,30000000
c086,customer,30000000
c087,customer,30000000
c088,customer,30000000
c089,customer,30000000
c090,customer,30000000
c091,customer,30000000
c092,customer,30000000
c093,customer,30000000
c094,customer,30000000
c095,customer,30000000
c096,customer,30000000
c097,customer,30000000
c098,customer,30000000
c099,customer,30000000
c100,customer,30000000
c101,customer,30000000
c102,customer,30000000
c103,customer,30000000
c104,customer,30000000
c105,customer,30000000
c106,customer,30000000
c107,customer,30000000
c108,customer,30000000
c109,customer,30000000
c110,customer,30000000
c111,customer,30000000
c112,customer,30000000
c113,customer,30000000
c114,customer,30000000
c115,customer,30000000
c116,customer,30000000
c117,customer,30000000
c118,customer,30000000
c119,customer,30000000
c120,customer,30000000
c121,customer,30000000
c122,customer,30000000
c123,customer,30000000
c124,customer,30000000
c125,customer,30000000
c126,customer,30000000
c127,customer,30000000
c128,customer,30000000
c129,customer,30000000
c130,customer,30000000
c131,customer,30000000
c132,customer,30000000
c133,customer,30000000
c134,customer,30000000
c135,customer,30000000
c136,customer,30000000
c137,customer,30000000
c138,customer,30000000
c139,customer,30000000
c140,customer,30000000
c141,customer,30000000
c142,customer,30000000
c143,customer,30000000
c144,customer,30000000
c145,customer,30000000
c146,customer,30000000
c147,customer,30000000
c148,customer,30000000
c149,customer,30000000
c150,customer,30000000
c151,customer,30000000
c152,customer,30000000
c153,customer,30000000
c154,customer,30000000
c155,customer,30000000
c156,customer,30000000
c157,customer,30000000
c158,customer,30000000
c159,customer,30000000
c160,customer,30000000
c161,customer,30000000
c162,customer,30000000
c163,customer,30000000
c164,customer,30000000
c165,customer,30000000
c166,customer,30000000
c167,customer,30000000
c168,customer,30000000
c169,customer,30000000
c170,customer,30000000
c171,customer,30000000
c172,customer,30000000
c173,customer,30000000
c174,customer,30000000
c175,customer,30000000
c176,customer,30000000
c177,customer,30000000
c178,customer,30000000
c179,customer,30000000
x-burst-00-0,beneficiary,0
x-burst-00-1,beneficiary,0
x-burst-00-2,beneficiary,0
x-structuring-00-0,beneficiary,0
x-takeover-00-0,beneficiary,0
u-mule-00-0,mule,200000
u-mule-00-1,mule,200000
u-mule-00-2,mule,200000
u-mule-00-3,mule,200000
x-mule-00-0,beneficiary,0
x-burst-01-0,beneficiary,0
x-burst-01-1,beneficiary,0
x-burst-01-2,beneficiary,0
x-structuring-01-0,beneficiary,0
x-takeover-01-0,beneficiary,0
u-mule-01-0,mule,200000
u-mule-01-1,mule,200000
u-mule-01-2,mule,200000
x-mule-01-0,beneficiary,0
x-burst-02-0,beneficiary,0
x-burst-02-1,beneficiary,0
x-burst-02-2,beneficiary,0
x-structuring-02-0,beneficiary,0
x-takeover-02-0,beneficiary,0
u-mule-02-0,mule,200000
u-mule-02-1,mule,200000
u-mule-02-2,mule,200000
u-mule-02-3,mule,200000
x-mule-02-0,beneficiary,0
x-burst-03-0,beneficiary,0
x-structuring-03-0,beneficiary,0
x-structuring-03-1,beneficiary,0
x-takeover-03-0,beneficiary,0
u-mule-03-0,mule,200000
u-mule-03-1,mule,200000
u-mule-03-2,mule,200000
x-mule-03-0,beneficiary,0
x-burst-04-0,beneficiary,0
x-burst-04-1,beneficiary,0
x-burst-04-2,beneficiary,0
x-structuring-04-0,beneficiary,0
x-takeover-04-0,beneficiary,0
u-mule-04-0,mule,200000
u-mule-04-1,mule,200000
u-mule-04-2,mule,200000
u-mule-04-3,mule,200000
x-mule-04-0,beneficiary,0
x-burst-05-0,beneficiary,0
