seq,is_fraud,pattern,episode
1,0,normal,
2,0,normal,
3,0,normal,
4,0,normal,
5,0,normal,
6,0,normal,
7,0,normal,
8,0,normal,
9,0,normal,
10,0,normal,
11,0,normal,
12,0,normal,
13,0,normal,
14,0,normal,
15,0,normal,
16,0,normal,
17,0,normal,
18,0,normal,
19,0,normal,
20,0,normal,
21,0,normal,
22,0,normal,
23,0,normal,
24,0,normal,
25,0,normal,
26,0,normal,
27,0,normal,
28,0,normal,
29,0,normal,
30,0,normal,
31,0,normal,
32,0,normal,
33,0,normal,
34,0,normal,
35,0,normal,
36,0,normal,
37,0,normal,
38,0,normal,
39,0,normal,
40,0,normal,
41,0,normal,
42,0,normal,
43,0,normal,
44,0,normal,
45,0,normal,
46,0,normal,
47,0,normal,
48,0,normal,
49,0,normal,
50,0,normal,
51,0,normal,
52,0,normal,
53,0,normal,
54,0,normal,
55,0,normal,
56,0,normal,
57,0,normal,
58,0,normal,
59,0,normal,
60,0,normal,
61,0,normal,
62,0,normal,
63,0,normal,
64,0,normal,
65,0,normal,
66,0,normal,
67,0,normal,
68,0,normal,
69,0,normal,
70,0,normal,
71,0,normal,
72,0,normal,
73,0,normal,
74,0,normal,
75,0,normal,
76,0,normal,
77,0,normal,
78,0,normal,
79,0,normal,
80,0,normal,
81,0,normal,
82,0,normal,
83,0,normal,
84,0,normal,
85,0,normal,
86,0,normal,
87,0,normal,
88,0,normal,
89,0,normal,
90,0,normal,
91,0,normal,
92,0,normal,
93,0,normal,
94,0,normal,
95,0,normal,
96,0,normal,
97,0,normal,
98,0,normal,
99,0,normal,
100,0,normal,
101,0,normal,
102,0,normal,
103,0,normal,
104,0,normal,
105,0,normal,
106,0,normal,
107,0,normal,
108,0,normal,
109,0,normal,
110,0,normal,
111,0,normal,
112,0,normal,
113,0,normal,
114,0,normal,
115,0,normal,
116,0,normal,
117,0,normal,
118,0,normal,
119,0,normal,
120,0,normal,
121,0,normal,
122,0,normal,
123,0,normal,
124,0,normal,
125,0,normal,
126,0,normal,
127,0,normal,
128,0,normal,
129,0,normal,
130,0,normal,
131,0,normal,
132,0,normal,
133,0,normal,
134,0,normal,
135,0,normal,
136,0,normal,
137,0,normal,
138,0,normal,
139,0,normal,
140,0,normal,
141,0,normal,
142,0,normal,
143,0,normal,
144,0,normal,
145,0,normal,
146,0,normal,
147,0,normal,
148,0,normal,
149,0,normal,
150,0,normal,
151,0,normal,
152,0,normal,
153,0,normal,
154,0,normal,
155,0,normal,
156,0,normal,
157,0,normal,
