seq,event_time,from,to,amount_minor
1,2026-08-01T03:25:00Z,c045,m008,4070
2,2026-08-01T04:00:00Z,c032,m028,420
3,2026-08-01T04:17:00Z,c032,c083,1900
4,2026-08-01T04:48:00Z,c171,m027,6643
5,2026-08-01T04:53:00Z,c076,m000,26255
6,2026-08-01T05:04:00Z,c032,m022,1390
7,2026-08-01T05:04:00Z,c043,m037,9519
8,2026-08-01T05:21:00Z,c063,m029,4262
9,2026-08-01T05:41:00Z,c095,m031,5157
10,2026-08-01T06:18:00Z,c032,m011,1197
11,2026-08-01T06:23:00Z,c076,m006,10742
12,2026-08-01T06:30:00Z,c078,m001,1518
13,2026-08-01T06:39:00Z,c169,c172,16823
14,2026-08-01T06:50:00Z,c078,m011,1397
15,2026-08-01T06:56:00Z,c169,c172,18039
16,2026-08-01T06:57:00Z,c079,m008,9176
17,2026-08-01T07:01:00Z,c042,c013,17157
18,2026-08-01T07:10:00Z,c171,c156,14753
19,2026-08-01T07:15:00Z,c171,m015,15417
20,2026-08-01T07:26:00Z,c098,m010,7000
21,2026-08-01T07:32:00Z,c065,c069,11417
22,2026-08-01T07:34:00Z,c065,m004,14762
23,2026-08-01T07:36:00Z,c065,m030,23505
24,2026-08-01T07:41:00Z,c032,m011,1632
25,2026-08-01T07:45:00Z,c120,c078,4800
26,2026-08-01T07:49:00Z,c076,m009,14305
27,2026-08-01T07:50:00Z,c065,c038,21468
28,2026-08-01T08:00:00Z,c169,m009,16611
29,2026-08-01T08:02:00Z,c121,m014,13452
30,2026-08-01T08:03:00Z,c098,m033,8999
31,2026-08-01T08:06:00Z,c005,m023,5442
32,2026-08-01T08:06:00Z,c027,c002,1386
33,2026-08-01T08:07:00Z,c126,c086,5646
34,2026-08-01T08:11:00Z,c016,m037,4546
35,2026-08-01T08:11:00Z,c135,m034,12650
36,2026-08-01T08:14:00Z,c135,m034,15522
37,2026-08-01T08:21:00Z,c135,c119,8759
38,2026-08-01T08:23:00Z,c005,m018,7836
39,2026-08-01T08:30:00Z,c009,m020,3133
40,2026-08-01T08:33:00Z,c153,m009,21239
41,2026-08-01T08:36:00Z,c040,m000,14306
42,2026-08-01T08:45:00Z,c121,c136,13177
43,2026-08-01T08:48:00Z,c153,m009,8986
44,2026-08-01T08:51:00Z,c166,m039,5655
45,2026-08-01T08:54:00Z,c166,m004,1172
46,2026-08-01T08:59:00Z,c126,m006,5323
47,2026-08-01T08:59:00Z,c166,c085,2119
48,2026-08-01T09:07:00Z,c170,m029,551
49,2026-08-01T09:15:00Z,c170,c124,2206
50,2026-08-01T09:27:00Z,c105,c001,1220
51,2026-08-01T09:30:00Z,c071,m000,5558
